field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID_EGSF22,F36,F45,ZA,ID_EGSFIR,Mstar,Fch1,dFch1,Fch2,dFch2,Fch3,dFch3,Fch4,dFch4,F24,dF24,Q24,F100,dF100,Q100,F160,dF160,Q160,F250,dF250,F350,dF350,F450,dF450,F500,dF500,F850_sh,dF850_sh,F850_d,dF850_d,F850,dF850,F1100,dF1100
miri6,215.038548,52.889624,0.444,0.044,0.279,0.027,,,,,,,,,,,5546.0,991.4318887853186,726.9185469636479,1.2400000000000009,2264,8.96,0.8735,0.1363,0.7569,0.1597,0.5056,0.9609,0.3791,0.8862,5.634,10.251,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.039589,52.890103,0.227,0.043,0.206,0.034,,,,,,,,,,,5636.0,832.8115550523261,815.5505626593614,1.2000000000000008,2272,8.84,0.8599,0.1374,0.7066,0.1635,-0.08259,0.9569,-0.1358,0.9043,1.569,13.844,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.037268,52.888979,0.207,0.038,0.135,0.025,,,,,,,,,,,5627.0,351.1407055555804,429.0217517277867,1.5600000000000012,2279,8.98,0.6098,0.1687,0.3646,0.194,2.176,1.154,-0.414,1.075,37.56,13.362,2,1.094,2.1167,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.055747,52.898609,31.709,0.091,17.525,0.054,,,,,,,,,,,5713.0,47844.48241464427,35141.9938636713,0.5800000000000003,2285,10.6,41.01,0.1469,29.45,0.1828,23.78,1.021,11.87,0.9793,26.73,16.551,3,1.4313,1.4,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.059335,52.904495,23.575,9.078,7.482,5.653,,,,,,,,,,,5666.0,630.336427113364,297.5432159325133,1.0800000000000007,2287,8.97,0.7756,0.1212,0.4552,0.1452,1.944,0.9206,-0.1643,0.8901,1.089,12.748,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.057181,52.901461,4.46,0.068,2.207,0.042,,,,,,,,,,,5664.0,7833.370119664968,3249.852605426246,0.01,2299,9.72,7.755,0.1344,4.983,0.164,3.892,0.971,3.767,0.9599,8.55,22.268,3,0.5082,1.9825,3,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.040795,52.890146,3.312,0.094,2.839,0.06,,,,,,,,,,,5797.0,6246.865232421667,5556.579519637568,1.2300000000000009,2301,9.81,5.273,0.1536,4.604,0.1809,4.333,1.043,2.833,0.9768,19.86,6.3829,3,-0.0377,1.3604,3,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,1.2582,1.5683
miri6,215.025803,52.881127,0.147,0.038,0.102,0.024,,,,,,,,,,,5709.0,821.1942644401416,745.761673908764,1.420000000000001,2331,9.1,0.7851,0.1436,0.6812,0.1626,0.3445,0.8924,-0.1475,0.8319,-3.188,9.6982,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.038528,52.890422,0.055,0.02,0.067,0.013,,,,,,,,,,,5803.0,171.11074567846563,255.79046588942558,0.4200000000000002,2349,8.99,0.2681,0.1399,0.2565,0.164,0.693,1.021,0.7167,0.9405,15.21,18.639,1,-0.0493,1.0467,2,2.893,2.865,2,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.048743,52.898008,0.157,0.034,0.201,0.019,,,,,,,,,,,5947.0,527.5143226083803,643.5726103566793,1.1300000000000008,2420,8.95,0.3708,0.1749,0.4585,0.2119,0.8642,1.328,0.7905,1.321,12.49,18.802,1,-99.0,100000000.0,1,0.8556,2.1972,3,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
