field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID,z_best,zbest,RA,DEC,IRAC_CH1_FLUX,IRAC_CH1_FLUXERR,IRAC_CH2_FLUX,IRAC_CH2_FLUXERR,IRAC_CH3_FLUX,IRAC_CH3_FLUXERR,IRAC_CH4_FLUX,IRAC_CH4_FLUXERR,IRAC_CH3_V08_FLUX,IRAC_CH3_V08_FLUXERR,Source,z,l_IRAC_58,f_IRAC_58,l_IRAC_80,f_IRAC_80,l_MIPS24,f_MIPS24,l_MIPS70,f_MIPS70,l_PACS_100,f_PACS_100,l_PACS_160,f_PACS_160,l_SPIRE_250,f_SPIRE_250,l_SPIRE_350,f_SPIRE_350,l_SPIRE_500,f_SPIRE_500
miri6,215.038548,52.889624,0.444,0.044,0.279,0.027,,,,,,,,,,,2264,1.24,1.24,215.0385904812,52.8896427639,0.873523355,0.136257857,0.756860018,0.159734592,0.505630493,0.960899293,0.408229262,0.870889068,0.479442447,1.15831685,2264,1.24,0.0,0.0,0.0,0.0,23.844,50.0,72.4937,447.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.039589,52.890103,0.227,0.043,0.206,0.034,,,,,,,,,,,2272,1.201,1.201,215.0396138319,52.8901223534,0.859897614,0.137362659,0.706590593,0.163493037,-0.0825930238,0.956870377,-0.271106094,0.879262984,-0.545919776,1.13817215,2272,1.2,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.037268,52.888979,0.207,0.038,0.135,0.025,,,,,,,,,,,2279,1.608,1.608,215.0373110093,52.8889966814,0.609845996,0.168665141,0.364570677,0.194030523,2.17562127,1.15428793,-0.647933125,1.07291019,1.97820365,1.41415381,2279,1.61,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.055747,52.898609,31.709,0.091,17.525,0.054,,,,,,,,,,,2285,0.576189,0.57,215.0557828338,52.8986270484,41.0110397,0.146937534,29.4484787,0.182755142,23.7827625,1.02133322,11.2713146,0.953581691,27.3121033,1.21069288,2285,0.57,0.0,0.0,7.92698,11.272,23.844,29.903,72.4937,430.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.059335,52.904495,23.575,9.078,7.482,5.653,,,,,,,,,,,2287,1.725,1.725,215.0593687365,52.904501414,0.775565028,0.121159025,0.455243558,0.14517054,1.94395781,0.920610011,-0.060711015,0.858328223,1.81906104,1.09183955,2287,1.73,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.057181,52.901461,4.46,0.068,2.207,0.042,,,,,,,,,,,2299,0.564,0.564,215.0572134554,52.9014793303,7.75454521,0.134416535,4.98324919,0.163962841,3.89194465,0.970971644,2.77700567,0.916945696,3.79323578,1.14018667,2299,0.56,0.0,0.0,7.92698,2.7772,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,253.13,16462.0,355.874,11578.0,0.0,0.0
miri6,215.040795,52.890146,3.312,0.094,2.839,0.06,,,,,,,,,,,2301,1.208,1.208,215.0408376565,52.8901658049,5.27281094,0.153566301,4.60364437,0.180875912,4.33311224,1.04349244,2.45251584,0.952534914,4.88910389,1.24292433,2301,1.21,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.025803,52.881127,0.147,0.038,0.102,0.024,,,,,,,,,,,2331,1.622,1.622,215.0258739657,52.8811370139,0.785139918,0.143623158,0.681220949,0.16255343,0.344473362,0.892407596,-0.208301589,0.784009516,-0.0564049892,1.04752135,2331,1.62,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.038528,52.890422,0.055,0.02,0.067,0.013,,,,,,,,,,,2349,3.457,3.457,215.0385689452,52.8904427675,0.268096566,0.1399405,0.256514937,0.163962841,0.69297564,1.02133322,0.690849483,0.938927293,0.852118313,1.2368809,2349,3.46,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.040446,52.891757,0.252,0.031,0.193,0.02,,,,,,,,,,,2385,1.436,1.436,215.0404854879,52.891775394,0.518148124,0.184500501,0.538869262,0.212353036,-0.529804051,1.29328585,0.0732719228,1.26760423,-0.707076907,1.61358571,2385,1.44,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.048743,52.898008,0.157,0.034,0.201,0.019,,,,,,,,,,,2420,3.689,3.689,215.0487636149,52.8980240728,0.370842338,0.174925625,0.458532184,0.211883217,0.864205062,1.3275317,0.683522344,1.32517493,1.04953575,1.64380264,2420,3.69,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.047549,52.896541,1.159,0.07,0.609,0.036,,,,,,,,,,,2428,0.59985,0.619,215.0475868329,52.8965586067,1.92860115,0.121527277,1.42163765,0.146579966,-0.0100723207,0.846074879,-1.26969767,0.764121413,-0.136983559,0.981043994,2428,0.62,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.040792,52.892502,0.037,0.024,0.039,0.018,,,,,,,,,,,2435,0.818,0.818,215.0408280516,52.8925220203,0.393674731,0.128156036,0.338261455,0.150338426,0.0906508788,0.930682361,-1.51986885,0.857281446,-0.0282024946,1.10594082,2435,0.82,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.033145,52.887357,0.013,0.01,0.027,0.011,,,,,,,,,,,2468,3.11,3.11,215.0332249555,52.8873680778,0.234584466,0.131470427,0.127787665,0.148929,-0.419008523,0.858161628,-0.823785663,0.76516819,-0.864205062,1.01126099,2468,3.11,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.037784,52.88916,1.807,0.074,1.946,0.04,,,,,,,,,,,2476,0.413915,0.4139,215.0378239107,52.8891781839,2.40292573,0.176030427,2.27903652,0.202956885,0.66074419,1.23285198,2.30806541,1.15350938,1.0394634,1.52494919,2476,0.41,0.0,0.0,7.92698,2.3082,23.844,42.591,72.4937,447.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.042006,52.892652,0.372,0.065,0.25,0.042,,,,,,,,,,,2497,0.77,0.77,215.0420319238,52.8926784524,1.08122444,0.132206947,0.762497723,0.154096887,0.0181301758,0.912552178,-0.414509714,0.843673825,-0.312241912,1.06363702,2497,0.77,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
